,statefips,population_percentage,year,pop
38,42,0.03844229785523771,2024,13179096
39,44,0.003220473474419058,2024,1104068
40,45,0.015702544756100535,2024,5383272
41,46,0.0027314425918269552,2024,936415
42,47,0.020764828564057303,2024,7118765
43,48,0.08939463520698565,2024,30646984
44,49,0.00931424464852193,2024,3193184
45,50,0.001862068155968288,2024,638369
46,51,0.0261155924909049,2024,8953156
47,53,0.023052327774681965,2024,7902983
48,54,0.005463076516856651,2024,1872896
49,55,0.017831982600923876,2024,6113303
50,56,0.0017936682143497545,2024,614920
0,01,0.014970436787955795,2025,5166073
1,02,0.002275529136923347,2025,785251
2,04,0.021689021640862737,2025,7484556
3,05,0.009320243112264008,2025,3216276
4,06,0.12230287192714974,2025,42204887
5,08,0.017756731587958065,2025,6127582
6,09,0.01043140565209895,2025,3599722
7,10,0.0029587464366834407,2025,1021019
8,11,0.002152642869920702,2025,742845
9,12,0.06537436282980477,2025,22559712
10,13,0.03266061127514278,2025,11270687
11,15,0.004202026231372576,2025,1450056
12,16,0.005410322260465776,2025,1867021
13,17,0.037175487433334264,2025,12828703
14,18,0.02075180783610234,2025,7161138
15,19,0.009749782795695034,2025,3364504
16,20,0.008604620010060703,2025,2969325
17,21,0.013632225514201353,2025,4704277
18,22,0.014265135608531945,2025,4922684
19,23,0.004156089479100424,2025,1434204
20,24,0.01857404325233401,2025,6409624
21,25,0.02100358554729542,2025,7248022
22,26,0.03037665340713026,2025,10482527
23,27,0.01654041970468687,2025,5707851
24,28,0.009148016376014133,2025,3156843
25,29,0.018576168057901295,2025,6410357
26,30,0.0032461960416577495,2025,1120214
27,31,0.005987000533527601,2025,2066024
28,32,0.008878474887471824,2025,3063829
29,33,0.004217661846431668,2025,1455452
30,34,0.027189562541505247,2025,9382710
31,35,0.006343591915871422,2025,2189078
32,36,0.05959814099451796,2025,20566424
33,37,0.03210242183156689,2025,11078064
34,38,0.002275401581454853,2025,785207
35,39,0.03521457050272876,2025,12152020
36,40,0.012282084447419859,2025,4238363
37,41,0.012916723254020832,2025,4457367
38,42,0.03844229785523771,2025,13265860
39,44,0.003220473474419058,2025,1111337
40,45,0.015702544756100535,2025,5418713
41,46,0.0027314425918269552,2025,942580
42,47,0.020764828564057303,2025,7165631
43,48,0.08939463520698565,2025,30848748
44,49,0.00931424464852193,2025,3214206
45,50,0.001862068155968288,2025,642572
46,51,0.0261155924909049,2025,9012099
47,53,0.023052327774681965,2025,7955013
48,54,0.005463076516856651,2025,1885226
49,55,0.017831982600923876,2025,6153550
50,56,0.0017936682143497545,2025,618968
0,01,0.014970436787955795,2026,5199293
1,02,0.002275529136923347,2026,790300
2,04,0.021689021640862737,2026,7532684
3,05,0.009320243112264008,2026,3236958
4,06,0.12230287192714974,2026,42476277
5,08,0.017756731587958065,2026,6166984
6,09,0.01043140565209895,2026,3622869
7,10,0.0029587464366834407,2026,1027584
8,11,0.002152642869920702,2026,747621
9,12,0.06537436282980477,2026,22704778
10,13,0.03266061127514278,2026,11343161
11,15,0.004202026231372576,2026,1459381
12,16,0.005410322260465776,2026,1879027
13,17,0.037175487433334264,2026,12911195
14,18,0.02075180783610234,2026,7207186
15,19,0.009749782795695034,2026,3386139
16,20,0.008604620010060703,2026,2988419
17,21,0.013632225514201353,2026,4734526
18,22,0.014265135608531945,2026,4954339
19,23,0.004156089479100424,2026,1443427
20,24,0.01857404325233401,2026,6450840
21,25,0.02100358554729542,2026,7294629
22,26,0.03037665340713026,2026,10549933
23,27,0.01654041970468687,2026,5744554
24,28,0.009148016376014133,2026,3177143
25,29,0.018576168057901295,2026,6451577
26,30,0.0032461960416577495,2026,1127417
27,31,0.005987000533527601,2026,2079309
28,32,0.008878474887471824,2026,3083530
